Deal Date,Deal Sub-Category,Acquirer Company / Merger Participant 1,Target Company / Merger Participant 2,Deal Value,Deal Headline
10/30/2008,"Minority Acquisition,None","Azimuth Opportunity, Ltd.",Dyax Corp.,50.00 ,Dyax raises $50 million equity financing from Azimuth Opportunity,
10/16/2012,100% Acquisition,"AngioDynamics, Inc.","Vortex Medical, Inc.",55.00 ,AngioDynamics acquires Vortex Medical,
7/20/2011,100% Acquisition,"Astex Pharmaceuticals, Inc. (formerly SuperGen, Inc.)",Astex Therapeutics Limited,55.00 ,SuperGen acquires 100% stake in Astex Therapeutics,
10/30/2008,"Minority Acquisition,None",EQT Greater China II,Hunan LaoBaiXing Pharmaceuticals Company Limited,80.00 ,EQT acquires minority stake in Hunan LaoBaiXing Pharmaceuticals (LBX),
10/30/2008,Majority Acquisition,GE Healthcare,"Vital Signs, Inc.",860.00 ,GE Healthcare acquires Vital Signs,
7/5/2011,100% Acquisition,II-VI Incorporated,"Aegis Lightwave, Inc.",55.00 ,II-VI acquires 100% stake in Aegis Lightwave,
10/28/2008,"100% acquisition,Going Private",The Blackstone Group L.P.,"Apria Healthcare Group, Inc.","1,700.00 ",Blackstone Group acquires Apria Healthcare Group,
10/28/2008,"Minority Acquisition,None",Limburg Ventures|S-UBG Group|The Bioscience Ventures Group AG,MagnaMedics GmbH,,S-UBG Group invests in MagnaMedics,
10/27/2008,Minority Acquisition,Alapis Holding Industrial and Commercial S.A.,PNG Gerolymatos S.A.,124.60 ,Alapis acquires 49.34% stake in PNG Gerolymatos,
10/24/2008,Minority Acquisition,"Roche Diagnostics, Ltd.",Top Diagnostics s.r.l.,25.60 ,Roche Diagnostics acquires stake in Top Diagnostics,
10/24/2008,Majority Acquisition,"Vaxine Pty., Ltd.",Protein Sciences Corporation,60.00 ,Vaxine to acquire Protein Sciences,
10/24/2008,Asset Purchase,Fluorotechnics Limited,"The Gel Company, Inc. - Assets",,Fluorotechnics acquires assets of The Gel Company,
10/24/2008,Asset Purchase,"Xenon Pharmaceuticals, Inc.",QuantaNova Canada Limited - Lipid Metabolism Drug Discovery Program Assets|Scotia Holdings PLC - Lipid Metabolism Drug Discovery Program Assets,,Xenon Genetics acquires all assets of QuantaNova Canada Limited and Scotia Holdings,
8/30/2005,100% Acquisition,PolyMedica Corporation,"National Diabetic Pharmacies, Inc",55.00 ,PolyMedica completes acquisition of National Diabetic Pharmacies,
7/6/2004,100% Acquisition,"Smiths Medical MD, Inc.",DHD Healthcare,55.00 ,Smiths strengthens medical business with acquisition of US respiratory Care Device for $55 million,
10/22/2008,"Minority Acquisition,None","Azimuth Opportunity, Ltd.","XOMA Corporation (Formerly XOMA, Ltd.)",60.00 ,XOMA raises $60 million from Azimuth Opportunity,
10/22/2008,Minority Acquisition,Lantmannen,Svalof Weibull AB,,Lantmannen acquires remaining 40% stake in Svalof Weibull from BASF Plant Science,
10/22/2008,Minority Acquisition,BASF AG,BASF Plant Science GmbH,,BASF acquires remaining 15% stake in BASF Plant Science from Svalof Weibull,
10/22/2008,Asset Purchase,"Calyx Bio-Ventures, Inc.","Chromos Molecular Systems, Inc. - Assets",,Calyx acquires assets of Chromos Molecular,
11/26/2003,100% Acquisition,"AMICAS, Inc.","AMICAS, Inc.",55.00 ,VitalWorks acquires AMICAS,
10/21/2008,Asset Purchase,Nanosyn,Amphora Discovery Corporation - Assets,,Nanosyn acquires non-ceased assets from Amphora Discovery,
10/21/2008,Minority Acquisition,"MaYinglong Pharmaceutical Group Co., Ltd.","Henan Lingrui Pharmaceutical Co., Ltd.",,MaYinglong Pharmaceutical acquires 5%stake in Henan Lingrui Pharmaceutical,
10/21/2008,Majority Acquisition,Life Technologies Corporation (formerly Invitrogen Corporation),"VisiGen Biotechnologies, Inc.",20.00 ,Invitrogen acquires VisiGen Biotechnologies,
10/21/2008,Asset Purchase,GlaxoSmithKline Consumer Healthcare,"Laclede, Inc. - Biotene",170.00 ,GlaxoSmithKline Consumer Healthcare to acquire Biotene brand from Laclede,
10/21/2008,Majority Acquisition,"American Oriental Bioengineering, Inc.","GuangXi HuiKe Research and Development Company, Ltd.",13.60 ,American Oriental Bioengineering acquiries GuangXi HuiKe Research and Development,
10/21/2008,Majority Acquisition,"American Oriental Bioengineering, Inc.","Nuo Hua Investment Company, Ltd.",39.50 ,American Oriental Bioengineering acquires Nuo Hua Investment,
10/21/2008,"100% acquisition,Institutional Buy-out (IBO)","MTS Health Investors, LLC","DNA Diagnostics Center, Inc.",,MTS Health Investors acquires DNA Diagnostics Center,
10/21/2008,Minority Acquisition,"Fosun Enterprises (HK), Ltd.",Tongjitang Chinese Medicines Company,7.40 ,Fosun Enterprises acquires stake in Tongjitang Chinese Medicines,
10/21/2008,"Minority Acquisition,None",smac partners Fund III,"CRF, Inc.",,smac partners Fund III acquires stake in CRF,
10/20/2008,Majority Acquisition,"MEDNAX, Inc.","Akron Neonatology, Inc.",,Pediatrix Medical acquires Akron Neonatology,
10/20/2008,Majority Acquisition,IDEX Corporation,"Semrock, Inc.",60.00 ,IDEX Corporation acquires Semrock,
5/16/2001,100% Acquisition,Biotransplant Inc.,"Eligix, Inc.",55.00 ,BioTransplant completes acquisition of Eligix,
10/20/2008,Majority Acquisition,"Vivakor, Inc.","HealthAmerica, Inc.",2.70 ,Vivakor acquires 84% stake in HealthAmerica,
10/17/2008,Minority Acquisition,"Daiichi Sankyo Company, Limited",Ranbaxy Laboratories Limited,"1,588.60 ",Daiichi Sankyo acquires 20% stake in Ranbaxy Laboratories through open offer,
10/17/2008,Minority Acquisition,Dragasac Limited,"Synthetic Genomics, Inc.",8.00 ,Dragasac to acquire minority stake in Synthetic Genomics,
10/17/2008,Asset Purchase,EBEWE Pharma Ges.m.b.H Nfg.KG,Liba Laboratuarlari A.S. - Oncology Pharmaceutical Distribution Assets,,EBEWE Pharma acquires oncology pharmaceutical distribution assets of Liba,
10/16/2008,"Minority Acquisition,None",PPM Oost NV|Wadinko N.V.,IBL International GmbH,,Wadinko and PPM Oost invest in IBL International,
10/16/2008,Minority Acquisition,Emami Limited,Zandu Pharmaceutical Works Limited,48.50 ,Emami acquires additional 18.8% stake in Zandu Pharmaceutical,
10/16/2008,Majority Acquisition,Alliance Boots Holdings Limited (formerly Alliance Boots Limited),megapharm GmbH,,Alliance Boots acquires 90% stake in megapharm,
3/20/2001,100% Acquisition,"Agilent Technologies, Inc.",Gefran Silicon Microsystem S.r.l.,55.00 ,Agilent Technologies completes acquisition of Silicon Micro Systems,
10/16/2008,Asset Purchase,"Zimmer Holdings, Inc.","Abbott Spine, Inc.",360.00 ,Zimmer Holdings acquires Abbott Spine business from Abbott Laboratories,
5/11/2009,100% Acquisition,"Zhejiang Hongda Warp Knitting Co., Ltd.","Shenzhen Well.D Medical Electronics Co, Ltd.",55.10 ,Zhejiang Hongda Warp Knitting to acquire 100% Shenzhen Well.D Medical Electronics,
10/16/2008,Majority Acquisition,"Ethicon Endo-Surgery, Inc.","SurgRx, Inc.",,Ethicon Endo-Surgery acquires SurgRx,
10/15/2008,Majority Acquisition,Bringwell AB,Biokraft Pharma AB,4.40 ,Bringwell acquires Biokraft Pharma,
10/15/2008,Asset Purchase,GlaxoSmithKline plc,Bristol-Myers Squibb Company - Mature Products Business - Egypt,210.00 ,GlaxoSmithKline to acquire the Egyptian mature products business of Bristol-Myers Squibb,
10/15/2008,Minority Acquisition,Solvay Pharmaceuticals SA,Innogenetics NV,24.10 ,Solvay Pharmaceuticals to acquire additional 8.8% stake in Innogenetics,
10/14/2008,Asset Purchase,"Dr. Fresh, Inc.","Ascendia Brands, Inc. - Assets",,"Dr. Fresh acquires Binaca, Tek, and Dentax Brands of Ascendia Brands",
10/14/2008,Asset Purchase,International Brachytherapy s.a.,Eckert &amp; Ziegler Strahlen- und Medizintechnik AG - Two Business Segments,6.80 ,IBT to acquire two business segments from Eckert & Ziegler,
10/7/2005,100% Acquisition,"Clinical Data, Inc.","Genaissance Pharmaceuticals, Inc.",56.00 ,Clinical Data completes acquisition of Genaissance Pharmaceuticals,
10/14/2008,Minority Acquisition,"Upsher-Smith Laboratories, Inc.",Proximagen Group plc,6.00 ,Upsher-Smith acquires 7.1% stake in Proximagen Neuroscience,
10/14/2008,"100% acquisition,Institutional Buy-out (IBO)",Riverside Capital Appreciation Fund V LP,"Coeur, Inc.",,Riverside Capital Appreciation Fund acquires Coeur,
10/13/2008,Majority Acquisition,"Sanjivani Paranteral, Ltd.",Undisclosed Company - Pharmaceutical Manufacturing Plant - India,,"Sanjivani Paranteral acquires pharmaceutical manufacturing plant in Uttarakhand, India",
10/13/2008,"Majority acquisition,None",Elliott Management Corporation,"Endologix, Inc. (formerly Radiance Medical Systems, Inc.)",83.90 ,Elliott Associates acquires 85.5% stake in Endologix,
4/12/2005,100% Acquisition,Affitech A/S (formerly Pharmexa A/S),GemVax AS,56.00 ,Pharmexa to acquire GemVax AS,
4/27/2004,100% Acquisition,"Landacorp, Inc.","SHPS, Inc.",56.00 ,"SHPS Holdings, Inc. Completes Acquisition of Landacorp, Inc.",
1/24/2008,100% Acquisition,Biosearch SA,Exxentia S.A.,56.10 ,Puleva Biotech acquires Exxentia,
10/10/2008,"Minority Acquisition,None","Fusion Capital Fund II, LLC","NeoGenomics, Inc.",0.00 ,"NeoGenomics issues 17,500 shares to Fusion Capital Fund II",
2/23/2009,100% Acquisition,Merck KGaA,Origio a/s,56.30 ,Merck to acquire MediCult,
10/9/2008,Asset Purchase,"BioControl Systems, Inc.",Bio-Nobile Oy - PickPen(R) Business Unit,,BioControl Systems acquires PickPen business unit from BioNobile Oy,
10/9/2008,"100% acquisition,Institutional Buy-out (IBO)",|Baird Capital Partners,"Medical Education Technologies, Inc.",,Baird Capital Partners and Lou Oberndorf acquire Medical Education Technologies,
10/8/2008,Asset Purchase,Natus Medical Incorporated,BrainZ Instruments Limited - Assets,0.80 ,Natus Medical to acquire assets of BrainZ Instruments,
10/7/2008,"100% acquisition,Secondary Buy-out","MSD Capital, L.P.|North Peak Capital LLC","Dental One, Inc.",,MSD Capital and North Peak Capital acquire Dental One from SSM Ventures and ABN AMRO Capital,
10/7/2008,"Minority Acquisition,None","APHY Holdings, LLC","Assured Pharmacy, Inc.",12.00 ,Assured Pharmacy announces $12 million private placement,
10/7/2008,Asset Purchase,Manz Automation Tubingen GmbH,CLS Laborautomationssysteme GmbH - Assets,0.30 ,Manz Automation Tubingen acquires assets of CLS Laborautomationssysteme GmbH,
10/7/2008,Majority Acquisition,"KARL STORZ Endoscopy-America, Inc.","Global Care Quest, Inc.",,KARL STORZ acquires Global Care Quest,
10/14/2011,100% Acquisition,Cerebos New Zealand Limited,Comvita Limited,56.40 ,Cerebos acquires Comvita,
10/6/2008,Majority Acquisition,"Kupper Parker Communications, Inc.",Americas BioTech Corp.,,Kupper Parker Communications to acquire Americas BioTech Corporation,
10/6/2008,Minority Acquisition,"TearLab Corporation (formerly OccuLogix, Inc.)","TearLab Research, Inc. (formerly TearLab, Inc.)",22.20 ,OccuLogix acquires remaining 40.9% stake in OcuSense,
10/3/2008,Asset Purchase,"Ergoresearch, Ltd.","Orthoconcept Quebec, Inc. - Assets",2.70 ,Ergoresearch acquires assets of Orthoconcept Quebec,
10/3/2008,Minority Acquisition,"Elder Pharmaceuticals, Ltd.",Universal Elder Pharmaceuticals,12.70 ,Elder Pharma acquires 9% stake in Universal Elder Pharmaceuticals,
10/3/2008,"100% acquisition,Management Buy-out (MBO)",Cenexi - Management Team|Chequers Capital SA|Indigo Capital LLP,Cenexi,,Chequers Capital and Indigo Capital acquire Cenexi from Roche,
4/2/2007,100% Acquisition,"Roche Holding, Ltd.",Therapeutic Human Polyclonals Inc. (THP),56.50 ,Roche Buys Therapeutic Human Polyclonals for $56.5 Million,
10/3/2008,Majority Acquisition,Euromedic International BV,"Lablink, Ltd.",,Euromedic International acquires Lablink,
10/2/2008,Asset Purchase,"Bob Martin (UK), Ltd.",Seven Seas Limited - Pet And Animal Healthcare Business,,Bob Martin to acquire pet and animal healthcare business of Seven Seas,
10/2/2008,Asset Purchase,Eli Lilly and Company,Monsanto Company - POSILAC(R) bovine somatotropin Brand and Related Business,300.00 ,Monsanto sells POSILAC(R) and related business to Eli Lilly,
10/2/2008,"Minority Acquisition,None","|Efficacy Capital, LLC|Vermillion Asset Management LLC","Repros Therapeutics, Inc.",15.50 ,"Efficacy Capital, Vermillion Asset Management, and John C. Reed acquire 16.31% stake in Repros",
10/2/2008,Majority Acquisition,"Trivitron Healthcare Pvt., Ltd.","Vision Engineering Pvt., Ltd.",,Trivitron Healthcare acquires Vision Engineering,
10/1/2008,Asset Purchase,QIAGEN N.V.,Biotage AB - Biosystems Business,60.00 ,Qiagen acquires Biosystems Business from Biotage,
10/1/2008,"Minority Acquisition,None","Symphony Capital Partners, LP","OXiGENE, Inc.",15.00 ,OXiGENE secures $15 million financing from Symphony Capital Partners,
10/1/2008,Majority Acquisition,"MEDNAX, Inc.",Maternal Fetal Group P.L.L.C.,,Pediatrix Medical acquires Maternal Fetal Group,
10/1/2008,"Minority Acquisition,None",Symphony Capital LLC,"OXiGENE, Inc.",40.00 ,Symphony Capital invests up to $40 million in OXiGENE,
10/1/2008,"100% acquisition,Institutional Buy-out (IBO)",Transom Capital Group,"Good Living Labs, LLC",,Transom Capital acquires Good Living Labs,
10/1/2008,Asset Purchase,"Community Health Systems, Inc.",Empire Health Services - Assets,193.10 ,Community Health Systems acquires assets of Empire Health Services,
10/1/2008,Majority Acquisition,"RecoverCare, LLC","T.H.E Medical, Inc.",,RecoverCare to acquire T.H.E. Medical,
10/1/2008,--,--,"Kirin Pharma Company Limited|Kyowa Hakko Kogyo Co., Ltd.",,Kirin Pharma merges with Kyowa Hakko Kogyo,
10/1/2008,Asset Purchase,Elanco Animal Health,Monsanto Company - Dairy Business,300.00 ,Eli Lilly and Company acquires dairy business of Monsanto,
10/1/2008,Minority Acquisition,Lend Lease Corporation Limited,Babcock &amp; Brown Communities Group,189.40 ,Lend Lease to acquire 41% stake in Babcock & Brown Communities,
10/1/2008,Asset Purchase,Meddens Diagnostics B.V.,IBL GmbH - Assets,,Meddens Diagnostics acquires assets of IBL GmbH,
10/1/2008,Asset Purchase,"ReproSource, Inc.",Repromedix Corp. - Assets,,ReproSource acquires assets from Repromedix,
10/1/2008,Majority Acquisition,Andante Medical LP,"Andante Medical Devices, Ltd.",,Andante Medical acquires Andante Medical Devices,
10/1/2008,Minority Acquisition,"Toho Pharmaceutical Co., Ltd.",Yamaguchi Toho KK,,Toho Pharmaceutical acquires remaining 49% stake in Yamaguchi Toho,
10/1/2008,Majority Acquisition,"Pharmaceutical Product Development, Inc.","InnoPharm, Ltd.",,Pharmaceutical Product Development acquires InnoPharm,
10/1/2008,"Minority Acquisition,None","TBL Capital, LP.","Gaia Herbs, Inc.",,TBL Capital invests $3 million in Gaia Herbs,
9/30/2008,Asset Purchase,"Nesher Solutions, Ltd.","LycoRed Natural Products Industries, Ltd. - Pharmaceutical Division Assets",,Nesher Solutions acquires pharmaceutical division assets of LycoRed Natural Products,
9/30/2008,Majority Acquisition,UBIO Acquisition Company,"Union Biometrica, Inc.",1.00 ,Harvard Bioscience sells Union Biometrica to UBIO Acquisition,
9/30/2008,Asset Purchase,HMS Holdings Corporation,"Prudent Rx, Inc. - Assets and Liabilities",4.50 ,HMS Holdings acquires business of Prudent Rx,
9/30/2008,"DIRECT INVESTMENT,Minority Acquisition",Federated Kaufmann Fund|Undisclosed Investors*,"Catalyst Pharmaceutical Partners, Inc.",4.10 ,Catalyst Pharmaceutical raises $4.1 million in private placement,
9/30/2008,Majority Acquisition,"Otsuka Chemical Co., Ltd.","ILS, Inc. (formerly life Science Co.,Ltd.)",,Otsuka Chemical acquires Ito Life Sciences from Itoham Foods,
9/30/2008,Asset Purchase,Sodalco s.r.l.,GlaxoSmithKline plc - Depilatory Brands Portfolio,,Sodalco acquires brands of depilatory products from GlaxoSmithKline,
9/30/2008,Asset Purchase,"Forma Therapeutics, Inc.","SolMap Pharmaceuticals, Inc. - Assets and Intellectual Property",,Mercury Computer sells assets and intellectual property of SolMap Pharmaceuticals to Forma Therapeutics,
9/30/2008,Minority Acquisition,Sopharma AD,Medica AD,,Sopharma acquires 0.17% stake in Medica AD Sofia,
9/30/2008,Majority Acquisition,GE Healthcare,"MicroCal, LLC",,GE Healthcare acquires MicroCal,
9/30/2008,Asset Purchase,The Providence Service Corporation,"Camelot Community Care, Inc. - Assets - United States",5.40 ,Providence Service acquires assets of Camelot Community Care,
9/30/2008,Majority Acquisition,"The Estee Lauder Companies, Inc.",Applied Genetics Inc. Dermatics,,Estee Lauder Companies acquires Applied Genetics Inc. Dermatics (AGI Dermatics),
9/30/2008,Majority Acquisition,"Alere, Inc. (formerly Inverness Medical Innovations, Inc.)",DiaTeam Diagnostika und Arzneimittel Grobhandel GmbH,,Inverness Medical Innovations acquires DiaTeam Diagnostika,
9/30/2008,Majority Acquisition,"Alere, Inc. (formerly Inverness Medical Innovations, Inc.)","Global Diagnostics, CC",,Inverness Medical Innovations acquires Global Diagnostics,
9/30/2008,Majority Acquisition,"Alere, Inc. (formerly Inverness Medical Innovations, Inc.)","Vision Biotech (Pty), Ltd.",,Inverness Medical Innovations acquires Vision Biotech,
9/29/2008,"Minority Acquisition,None",Avalon Ventures VII,"Akesis Pharmaceuticals, Inc.",2.00 ,Akesis Pharmaceuticals raises $2 million financing,
7/27/2006,100% Acquisition,"PerkinElmer, Inc.",JN Macri Technologies LLC,56.70 ,PerkinElmer Acquires JN Macri Technologies,
7/27/2006,100% Acquisition,"PerkinElmer, Inc.","NTD Laboratories, Inc",56.70 ,PerkinElmer Acquires  NTD Laboratories,
9/26/2008,Minority Acquisition,"Sichuan Languang Industry Group Co., Ltd.","Sichuan Dikang Sci&amp;Tech Pharmaceutical Industry Co., Ltd.",47.40 ,Sichuan Languang acquires 29.9% stake in Sichuan Dikang Sci&Tech Pharmaceutical,
9/26/2008,"Minority Acquisition,None",Deerfield Management Company|Sanderling Ventures|Sprout Group,"ISTA Pharmaceuticals, Inc.",65.00 ,"ISTA Pharmaceuticals secures $65 million of financing from Deerfield, Sprout, and Sanderling",
1/7/2009,100% Acquisition,GlaxoSmithKline plc,"Genelabs Technologies, Inc.",57.00 ,GlaxoSmithKline acquires Genelabs Technologies,
9/26/2008,Majority Acquisition,"Eurofins STA Laboratories, Inc.","STA Laboratories, Inc.",,Eurofins Scientific acquires STA Laboratories,
9/25/2008,"Asset purchase,None","Water Street Healthcare Partners, LLC","CareCentrix, Inc.",147.00 ,Water Street Healthcare Partners acquires 69% stake in Gentiva's CareCentrix unit,
9/25/2008,"Minority Acquisition,None",SR One,Addex Pharmaceuticals SA,0.30 ,SR One acquires additional 0.12% stake in Addex Pharmaceuticals,
9/25/2008,Majority Acquisition,"Aspen Racing Stables, Inc.","Kun Run Biotechnology, Ltd.",,Aspen Racing Stables acquires Kun Run Biotechnology,
9/25/2008,Majority Acquisition,"Great Expressions Dental Centers, Inc.","ConsoliDent, Inc.",,Great Expressions Dental Centers acquires ConsoliDent,
11/3/2008,100% Acquisition,"Tripos, Inc.",Pharsight Corporation,57.00 ,Tripos acquires Pharsight,
1/31/2008,100% Acquisition,Life Technologies Corporation (formerly Invitrogen Corporation),"CellzDirect, Inc.",57.00 ,Invitrogen acquires CellzDirect,
7/3/2007,100% Acquisition,Mentor Corporation,Perouse Plastie SAS,57.00 ,Mentor completes acquisition of Perouse Plastie,
9/24/2008,Majority Acquisition,"PhotoMedex, Inc.",Photo Therapeutics Limited,20.00 ,PhotoMedex acquires Photo Therapeutics,
3/22/2004,100% Acquisition,"OSI Systems, Inc.","Spacelabs Medical, Inc.",57.00 ,OSI Systems Completes Acquisition of Spacelabs Medical,
9/24/2008,Majority Acquisition,"SMS Pharmaceuticals, Ltd.",PLANT ORGANICS LIMITED,,SMS Pharmaceuticals acquires Plant Organics,
7/14/2003,100% Acquisition,"Caliper Life Sciences, Inc.",Zymark Corporation,57.00 ,Caliper Technologies Corp. Announces Completion of Acquisition of Zymark Corporation,
7/9/2002,100% Acquisition,"Greatbatch, Inc.(formerly, Wilson Greatbatch Technologies, Inc.)","Globe Tool and Manufacturing, Inc.",57.00 ,Wilson Greatbatch Technologies acquires Globe Tool and Manufacturing,
12/28/2009,100% Acquisition,Eckert &amp; Ziegler Strahlen- und Medizintechnik AG|SMI Steglitz MedInvest UG,International Brachytherapy s.a.,57.60 ,Eckert & Ziegler Strahlen- und Medizintechnik to acquire International Brachytherapy,
9/22/2008,Majority Acquisition,"Atrium Innovations, Inc. (formerly Atrium Biotechnologies, Inc.)",Orthos Europe B.V.,11.00 ,Atrium Innovations acquires Orthos Europe B.V.,
9/22/2008,Exit,Undisclosed Investors*,"Hanger, Inc. (formerly Hanger Orthopedic Group, Inc.)",49.00 ,Ares Corporate Opportunities Fund to sell stake in Hanger Orthopedic Group through public offering,
9/22/2008,Majority Acquisition,CytRx Corporation,"Innovive Pharmaceuticals, Inc.",18.30 ,CytRx acquires Innovive Pharmaceuticals,
7/8/2011,100% Acquisition,"Evolva Holding SA (formerly Arpida, Ltd.)","Abunda Nutrition, Inc.",57.70 ,Evolva acquires 100% of Abunda Nutrition,
9/19/2008,"Minority Acquisition,None","The Frost Group, LLC","Cocrystal Discovery, Inc.",10.00 ,Cocrystal Discovery raises $10 million financing,
9/18/2008,"Minority Acquisition,None",Pharmainvest Master Account LP,"EastPharma, Ltd.",,Pharmainvest Master acquires 2.3% stake in EastPharma,
9/18/2008,Majority Acquisition,Lupin Limited,Pharma Dynamics,,Lupin acquires majority stake in Pharma Dynamics,
9/18/2008,Majority Acquisition,Memira,City Lasik,,Memira acquires majority stake City Lasik,
6/2/2004,100% Acquisition,pSivida Corp.,pSiMedica Limited,57.80 ,pSivida acquires UK arm for $58 million,
10/17/2003,100% Acquisition,"Acuvax, Ltd. (formerly Avantogen Limited)",NuraPlex,58.00 ,Australian Cancer Technology Limited Completes US Cancer Care Acquisition,
9/17/2008,"Minority Acquisition,None",Caisse de depot et placement du Quebec,"MonoGen, Inc.",6.50 ,Caisse de depot et placement du Quebec invests $6.53 million in MonoGen,
11/24/2006,100% Acquisition,Recordati S.p.A.,Jaba Farmaceutica,58.30 ,Recordati Finalizes its Acquisition in Portugal,
9/17/2008,Majority Acquisition,"Tethys Bioscience, Inc.","Lipomics Technologies, Inc.",,Tethys Bioscience acquires Lipomics Technologies,
9/17/2008,"Minority Acquisition,None",Alta Partners|GBS Venture Partners Pty Ltd|Merck Sante s.a.s.|Undisclosed Investors,ChemGenex Pharmaceuticals Limited,10.20 ,"Alta Partners, GBS Venture Partners, and Merck Sante invest $10.24 million in ChemGenex Pharmaceuticals",
9/17/2008,Minority Acquisition,Aspen Pharmacare Holdings Limited,Strides Latina SA,11.90 ,Aspen Pharmacare Holdings to acquire remaining 49% stake in Strides Latina from Strides Arcolab,
9/16/2008,Majority Acquisition,Undisclosed Investors*,DIREVO Industrial Biotechnology GmbH,,DIREVO Biotech AG sells DIREVO Industrial Biotechnology GmbH,
9/16/2008,Majority Acquisition,Perrigo Company,"JB Laboratories, Inc.",44.00 ,Perrigo Company acquires JB Laboratories,
9/16/2008,Majority Acquisition,Bayer HealthCare AG,DIREVO Biotech AG,299.80 ,Bayer HealthCare acquires DIREVO Biotech,
9/16/2008,Exit,Bayer HealthCare AG,DIREVO Biotech AG,299.80 ,TVM Capital sells DIREVO Biotech to Bayer HealthCare,
9/16/2008,Majority Acquisition,Empresas Andromaco S. A.,Diagnotec S.A.,,Empresas Andromaco acquires 80% stake in Diagnotec,
9/16/2008,Asset Purchase,"Hitachi Chemical Co., Ltd.","Hitachi, Ltd. - Personal Health Care Business",,Hitachi Chemical to acquire personal health care business of Hitachi,
9/15/2008,Majority Acquisition,"Charles River Laboratories International, Inc.",MIR Preclinical Services,12.50 ,Charles River Laboratories International acquires Molecular Imaging Research (MIR Preclinical Services),
9/15/2008,"Minority Acquisition,None",Northern Rivers Innovation Fund LP,IntelGenx Corp.,,Northern Rivers Innovation Fund acquires securities of Intelgenx Technologies,
9/13/2008,Majority Acquisition,"Metropolis Health Services (India), Ltd.","R.V. Diagnostic &amp; Health Care Center Pvt., Ltd.",,Metropolis Health Services acquires majority stake in R.V. Diagnostic & Health Care Center,
9/12/2008,Asset Purchase,"Speedwinds Nutrition, Inc.",Melliora Nutraceuticals - Sephren Brand Line,,Speedwinds Nutrition to acquire Sephren brand line from Melliora Nutraceuticals,
9/12/2008,Minority Acquisition,"Ariad Pharmaceuticals, Inc.","ARIAD Gene Therapeutics, Inc.",,Ariad Pharmaceuticals to acquire remaining 20% stake in ARIAD Gene Therapeutics,
9/12/2008,Majority Acquisition,"Siemens Healthcare Diagnostics, Ltd.","Dade Behring Diagnostics India Pvt., Ltd.",9.40 ,Siemens Healthcare Diagnostics to acquire Dade Behring Diagnostics,
9/12/2008,Asset Purchase,"SurModics, Inc.",GE Healthcare - CodeLink Activated Slide Microarray Business,,SurModics acquires CodeLink(TM) activated slide microarray business from GE Healthcare,
9/12/2008,Asset Purchase,Meda AB,Valeant Pharmaceuticals International - Business Operations - Europe,425.00 ,Valeant Pharmaceuticals sells certain business operations in Europe to Meda,
9/11/2008,"Majority acquisition,None",OMERS Administration Corporation|OMERS Private Equity (formerly OMERS Capital Partners),"Maxxam Analytics, Inc.",,OMERS Capital Partners acquires Maxxam Analytics International from Callisto Capital,
9/11/2008,Majority Acquisition,bioMerieux SA,"AviaraDx, Inc.",60.00 ,bioMerieux acquires AviaraDx,
9/11/2008,Majority Acquisition,BoneSupport AB,Ultrazonix DNT AB,,BoneSupport acquires Ultrazonix DNT,
9/11/2008,--,--,"ALFAMA|hemoCORM, Ltd.",,Alfama to merge with hemoCORM,
9/10/2008,"Minority Acquisition,None",Black River Asset Management LLC|Undisclosed Investors*,"Yongye International, Inc. (formerly Yongye Biotechnology International, Inc.)",9.40 ,Yongye Biotechnology raises $9.4 million through private placement,
9/10/2008,Asset Purchase,"APP Pharmaceuticals, Inc.","Astellas Manufacturing, Inc. - Grand Island Plant",,"APP Pharmaceuticals acquires Grand Island plant from Astellas Manufacturing, Inc.",
9/10/2008,Asset Purchase,"MiddleBrook Pharmaceuticals, Inc. (Formerly Advancis Pharmaceutical Corporation)",Deerfield Management - Keflex Assets,11.00 ,MiddleBrook Pharmaceuticals acquires Keflex assets from Deerfield Capital,
9/10/2008,Majority Acquisition,Tronics Microsystems S.A.,MedTech Development LLC,,Tronics Microsystems acquires MedTech Development,
10/7/1999,100% Acquisition,Corixa Corporation,"Ribi Immunochem Research, Inc.",58.50 ,Corixa completes $58.5 million acquisition of Ribi Immunochem,
9/9/2008,Majority Acquisition,"Charles River Laboratories International, Inc.",NewLab BioQuality AG,,Charles River Laboratories acquires NewLab BioQuality,
9/8/2008,Majority Acquisition,Koninklijke Philips Electronics N.V.,"Alpha X- Ray Technologies (I) Pvt., Ltd.",,Royal Philips Electronics to acquire Alpha X-Ray Technologies,
9/8/2008,Asset Purchase,"Eckert &amp; Ziegler Isotope Products, Inc. (formerly Isotope Products Laboratories, Inc.)","North American Scientific, Inc. - Non-Therapeutic Product Line",6.00 ,North American Scientific sells Non-therapeutic product line to Eckert & Ziegler Isotope Products,
9/5/2008,Majority Acquisition,"Essel Propack Limited|Lamitube Technologies Limited|TACPRO, Inc.","Medical Engineering and Design, Inc.",,Essel Propack acquires 75% stake in Medical Engineering and Design,
9/5/2008,"Minority Acquisition,None","Clarity China Partners, L.P.|FMRC Family Trust","Adaltis, Inc.",15.20 ,Adaltis raises $15.17 million in private placement,
9/5/2008,Majority Acquisition,Ceva Sante Animale,"Delvet Pty., Ltd.",,Ceva Sante Animale acquires Delvet,
